pH,EC_uScm,TDS_mgL,HCO3_mgL,Cl_mgL,F_mgL,SO4,NO3,Total_Hardness_mgL,Ca_mgL,Mg_mgL,Na_mgL,K_mgL,pH_exceed,TDS_mgL_exceed,NO3_exceed,F_mgL_exceed,Cl_mgL_exceed,SO4_exceed,Total_Hardness_mgL_exceed,risk_score,risk_label,Latitude,Longitude,State,District,Location,coordinate_flag
7.2,800.0,536.0,469.0,25.0,0.35,21.0,30.0,412.0,133.0,20.0,28.0,2.0,0,1,0,0,0,0,1,2,MODERATE,32.5583,75.0667,Jammu & Kashmir,Samba,Supwal,
7.0,400.0,268.0,232.0,10.0,0.22,20.0,9.0,215.0,78.0,5.0,8.0,2.0,0,0,0,0,0,0,1,1,MODERATE,32.593,75.1556,Jammu & Kashmir,Samba,Painthi,
7.07,890.0,596.3000000000001,438.0,68.0,0.27,31.0,6.0,372.0,125.0,15.0,47.0,18.0,0,1,0,0,0,0,1,2,MODERATE,32.55,75.0097,Jammu & Kashmir,Samba,Gudwal,
7.25,590.0,395.3,364.0,10.0,0.31,18.0,12.0,325.0,110.0,12.0,8.0,1.0,0,0,0,0,0,0,1,1,MODERATE,32.5875,74.975,Jammu & Kashmir,Samba,Kainthpur,
6.71,580.0,388.6,302.0,27.0,0.2,26.0,7.0,285.0,90.0,15.0,19.0,1.0,0,0,0,0,0,0,1,1,MODERATE,32.8503,75.1819,Jammu & Kashmir,Udhampur,Kuperlah,
7.51,460.0,308.20000000000005,249.0,12.0,0.49,17.0,17.0,171.0,30.0,23.0,34.0,6.0,0,0,0,0,0,0,0,0,SAFE,32.5517,74.9489,Jammu & Kashmir,Samba,Gho Rakawalan,
6.98,650.0,435.5,339.0,20.0,0.23,18.0,3.0,265.0,90.0,10.0,32.0,2.0,0,0,0,0,0,0,1,1,MODERATE,32.8417,75.1633,Jammu & Kashmir,Udhampur,Ritti,
6.95,660.0,442.2000000000001,388.0,17.0,0.23,21.0,8.0,355.0,114.0,17.0,11.0,1.0,0,0,0,0,0,0,1,1,MODERATE,32.6794,75.2425,Jammu & Kashmir,Udhampur,Sunal,
7.07,660.0,442.2000000000001,425.0,10.0,0.26,13.0,3.0,340.0,116.0,12.0,21.0,1.0,0,0,0,0,0,0,1,1,MODERATE,32.6972,75.1644,Jammu & Kashmir,Udhampur,Chhani Mansar,
6.67,800.0,536.0,419.0,42.0,0.25,28.0,14.0,410.0,144.0,12.0,21.0,2.0,0,1,0,0,0,0,1,2,MODERATE,32.7556,75.15,Jammu & Kashmir,Udhampur,Manwall,
6.85,580.0,388.6,376.0,7.0,0.21,15.0,5.0,305.0,98.0,15.0,13.0,1.0,0,0,0,0,0,0,1,1,MODERATE,32.7167,75.175,Jammu & Kashmir,Udhampur,Salabra,
6.96,770.0,515.9,505.0,15.0,0.34,18.0,3.0,330.0,104.0,17.0,65.0,2.0,0,1,0,0,0,0,1,2,MODERATE,32.8192,75.3125,Jammu & Kashmir,Udhampur,Dalsar,
6.96,790.0,529.3000000000001,394.0,50.0,0.26,47.0,13.0,335.0,104.0,18.0,60.0,2.0,0,1,0,0,0,0,1,2,MODERATE,32.7814,75.2728,Jammu & Kashmir,Udhampur,Dehari,
7.14,670.0,448.9,407.0,25.0,0.22,29.0,3.0,360.0,122.0,13.0,20.0,7.0,0,0,0,0,0,0,1,1,MODERATE,32.7958,75.2317,Jammu & Kashmir,Udhampur,Jallow,
6.37,420.0,281.40000000000003,234.0,20.0,0.13,16.0,5.0,205.0,66.0,10.0,17.0,3.0,1,0,0,0,0,0,1,2,MODERATE,32.8064,75.31,Jammu & Kashmir,Udhampur,Ramnagar,
